Description,URL,Price
"Samsung Galaxy A01 (A015M) 16GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Red",/Samsung-SM-A015M-Display-Unlocked-International/dp/B084V9FKK6/ref=sr_1_2?dchild=1&keywords=smartphone&qid=1601745412&sr=8-2,"$101.85
$101
.
85"
"Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Dual SIM 6.5''HD+ Snapdragon 450, Factory Unlocked (International Version) - (Red)",/Samsung-A207M-Snapdragon-Unlocked-International/dp/B07ZDH95L4/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1601745412&sr=8-3,"$168.99
$168
.
99"
"BLU Advance S5 HD – Unlocked Single Sim Smartphone, 16GB+1GB RAM -Black",/BLU-Advance-S5-HD-Smartphone/dp/B07Z45ZP1N/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1601745412&sr=8-4,"$49.99
$49
.
99"
"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",/BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1601745412&sr=8-5,"$69.99
$69
.
99"
"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67"" FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",/Xiaomi-DotDisplay-Qualcomm-Snapdragon-Smartphone/dp/B0881TZRTZ/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1601745412&sr=8-7,"$272.00
$272
.
00 
$289.98
$289.98"
"Unlocked Smartphones Ulefone Note 9P (2020) Android 10 Unlocked Cell phones, Triple Rear Camera Triple Card Slots, 6.52"" Waterdrop Full-Screen Dual SIM Phones, 4500mAh Global Bands, US Version - Green",/Smartphones-Ulefone-Note-9P-Full-Screen/dp/B08BBXK6RQ/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1601745412&sr=8-8,"$118.99
$118
.
99 
$149.99
$149.99"
"Motorola Moto G9 Plus 128GB, 4GB RAM, XT2087-1, 64MP Camera System, 6.81 inches, LTE Factory Unlocked Smartphone - International Version (Rose Gold)",/Motorola-XT2087-1-Factory-Unlocked-Smartphone/dp/B08JQLHLBV/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1601745412&sr=8-10,"$309.99
$309
.
99"
Motorola One Action | Unlocked | Made for US by Motorola | 4/128GB | 16MP Camera | White,/Motorola-One-Action-Unlocked-Smartphone/dp/B07WF9K475/ref=sr_1_12?dchild=1&keywords=smartphone&qid=1601745412&sr=8-12,"$203.99
$203
.
99"
"BLU VIVO X6-6.1” HD+ Display, 64GB+3GB RAM - Gradient Blue",/BLU-VIVO-X6-6-1-Display-64GB/dp/B0843HCT63/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1601745412&sr=8-13,"$109.99
$109
.
99 
$129.99
$129.99"
Samsung Galaxy A31-128GB / 4GB - A315G/DSL Unlocked Dual Sim Phone w/Quad Camera 48MP+8MP+5MP+5MP GSM International Version (Prism Crush Black),/Samsung-Galaxy-A31-128GB-4GB-International/dp/B087C9LDF7/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1601745412&sr=8-14,"$229.00
$229
.
00"
"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",/TCL-Unlocked-Android-Smartphone-Display/dp/B087LY84RT/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1601745412&sr=8-15,"$249.99
$249
.
99"
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",/Samsung-Galaxy-A10s-A107M-Infinity-V/dp/B07XQHM1CV/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1601745412&sr=8-17,"$137.00
$137
.
00"
"Samsung Galaxy A21 Factory Unlocked Android Cell Phone | US Version Smartphone | 32GB Storage | Long-Lasting Battery, 6.5” Infinity Display, Quad Camera | Black",/Samsung-Unlocked-Smartphone-Long-Lasting-Infinity/dp/B08DHG8SBB/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1601745412&sr=8-18,"$249.99
$249
.
99"
Moto G Stylus | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | 2020 | Indigo,/Stylus-Unlocked-Motorola-Camera-Indigo/dp/B084CVPLLC/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1601745412&sr=8-20,"$269.99
$269
.
99 
$299.99
$299.99"
